Sample	fws	bin_0	bin_1	bin_2	bin_3	bin_4	bin_5	bin_6	bin_7	bin_8	bin_9
VVX01815	0.8412213	0.0004820369	0.021158764	0.03394621	0.052571576	0.055382222	0.05993165	0.0697756	0.07393245	0.07447559	0.08080971
VVX01893	0.99936897	2.8116897e-06	0.0	0.0	0.000118343196	0.0011045451	0.00072510855	0.00029494797	0.0	0.0	0.0
VVX01907	0.8319245	0.0030748155	0.027863208	0.035867598	0.046593584	0.06783652	0.060489994	0.076228686	0.07720416	0.08156028	0.08149709
VVX01908	0.99539155	5.4671174e-05	0.001172301	0.0014934837	0.0041773594	0.004604697	0.0013738321	0.0015184857	0.00039257022	0.0010289105	0.0018575857
VVX01915	0.9944455	4.603785e-05	0.00042346894	0.0012629444	0.0021820592	0.0032194685	0.005075265	0.0039956863	0.0010175279	0.0008866007	0.001198307
VVX01916	0.8861957	0.0003422254	0.015459562	0.025041515	0.030601121	0.03445974	0.042094707	0.04714129	0.05706879	0.059295367	0.058782298
VVX01920	0.99569046	7.923108e-06	0.00032053152	0.00089024636	0.0009239847	0.0019291369	0.0040434813	0.003245919	0.00078632333	0.0019473467	0.00036585474
VVX01924	0.9937961	9.025212e-06	0.00047718085	0.0014729955	0.0022632463	0.002765463	0.005016957	0.0037430022	0.0013062219	0.003128853	0.0008880744
VVX01926	0.93248945	0.00214625	0.018352494	0.016847402	0.019906107	0.020258266	0.02400401	0.028565252	0.03101009	0.035543796	0.03323558
VVX01927	0.9995427	5.83761e-06	9.995884e-05	0.0	0.0	0.00037351254	7.137372e-05	0.00027338346	8.224204e-05	0.0004227825	0.00013784939
VVX01936	0.99782664	8.196368e-06	0.00039377925	0.0006223599	0.00072907057	0.0008021548	0.0007645861	0.00073084736	0.0011057717	0.0009171077	0.0012268168
VVX01943	0.9987358	3.565415e-06	0.0005260243	0.0005992637	0.0002377498	0.0004699423	0.0	0.0003454594	0.00040034836	0.0018501856	0.0
